response ID,hashed user ID,band_11-12,band_3-4,band_5-6,band_7-8,band_9-10,band_k-2,comments,comparison,confidence_abstraction,confidence_algorithms,confidence_implementation,confidence_integration,confidence_representation,confidence_tcc,confidence_technical,define_ct,excited,freq_tcc_online,future_modules,future_webinars,improved_confidence,improved_integration,improved_knowledge,improved_resources,improved_understanding,inspiring,learn_to_code,length,pace,purpose,readiness_lead,ready_tcc,student_completion
6696,ef4e6ac59429a0a751567c2f78045a9f,,on,on,,,on,"x
y
z
",5,2,3,4,3,1,2,4,3,strongly_agree,hours,"a
b
","c
d
",considerably,i_am_already_integrating_a_lot,not_at_all,sufficiently,insufficiently,a_lot,yes_a_bit,just_fine,just_fine,1,5,yes,2
6700,3b57214ab99188429df3feb7a54011bd,,,on,,,,,4,3,4,4,3,3,4,4,,agree,weeks,,,considerably,sufficiently,sufficiently,considerably,insufficiently,a_bit,yes_a_bit,just_fine,just_fine,,4,yes,
6701,6a087520c18c990921f7cea23ad71242,on,,,,on,,"more hands on time, both keyboard & unplaugged",4,4,4,4,5,4,5,5,,strongly_agree,weeks,specific resources,specific resources,considerably,considerably,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,fast,,5,yes,be better prepared for the 21st century
6702,6bcddc6d35d76cb7ba8e9a31698e9e4f,on,,,,on,,,4,4,4,4,4,4,4,4,Calculated thinking,strongly_agree,days,"Curriculum courses suggestions
assessments to use with classes",,considerably,considerably,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,just_fine,To engage students and staff so they are left behind.,4,yes,Participate in digital society.
6703,fe577d5ab83e6d9e7a1c1a798da8fa17,on,,,on,on,,,5,4,4,4,4,4,4,4,,strongly_agree,weeks,,,considerably,considerably,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,just_fine,,4,yes,
6704,471b3bac1dfb839d4185c2db62d2264c,,,,,,on,,4,5,5,4,4,4,4,4,The processes involved in creating a problem and finding its solution(s) with humans or computers effectively.,strongly_agree,days,"Hands on activities in various ways (online modules, LEGO)",,considerably,considerably,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,just_fine,"Computational thinking, coding/programming, abstraction, algorithms.",4,yes,"Collect, represent and interpret data"
6705,13117b77c519b4657338b608d019c24c,,,on,,,,,5,4,4,4,5,4,5,5,,strongly_agree,days,,,i_am_already_confident,sufficiently,i_am_already_knowledgeable,considerably,i_already_understood,a_bit,yes_lots_,just_fine,just_fine,,5,yes,
6706,d1d040cbad749e4add7ac3d7ef802821,,on,,,,,"Assesment, lesson ideas, integration with other subjects.",5,4,4,4,4,4,4,4,,strongly_agree,weeks,Assessment and continue to build knowledge around Digital technologies,More more more stuff anything :),considerably,considerably,considerably,considerably,considerably,a_lot,yes_a_bit,just_fine,just_fine,,4,yes,
6707,df1badaeeaac9eadf9b66801487a0630,,on,on,,,on,,5,4,4,4,5,4,5,5,,strongly_agree,days,,,considerably,i_am_already_integrating_a_lot,sufficiently,considerably,i_already_understood,a_lot,yes_lots_,just_fine,just_fine,,5,yes,
6708,4599d5c9283ac89c11df0d75d345c145,,on,on,,,on,,5,5,5,5,5,5,4,5,,strongly_agree,days,Assessment ,,i_am_already_confident,considerably,sufficiently,considerably,considerably,a_lot,yes_lots_,just_fine,just_fine,Computational thinking ,5,yes,Attempt to solve problems and find easier solutions
6709,444b6504df4495e18756f05e57c37def,,on,on,,,on,,5,,5,5,5,5,5,5,Thinking abstractly outside the box ,strongly_agree,days,Assessment ,Assessment ,sufficiently,sufficiently,sufficiently,considerably,sufficiently,a_lot,yes_lots_,just_fine,just_fine,To integrate DT across the curriculum. ,5,yes,Think independently and be able to use their skills across all subjects.  
6710,c6a77efa19de3471ea09c7e0c160f7a7,on,,,on,on,,,4,4,4,4,4,4,4,4,Thinking through a problem in  series of steps,strongly_agree,days,,,considerably,considerably,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,just_fine,"Improve  the digital skills and adaptability of our students, preparing them to use simple and complex digital systems and ways of thinking in their adult lives.",4,yes,Understand sequences of steps and how to program simple systems
6711,561b134ec0a24f0f48495f4305920cc3,,on,,,,,,4,4,5,4,4,3,3,4,,agree,weeks,Assessment,,considerably,i_am_already_integrating_a_lot,sufficiently,sufficiently,sufficiently,a_lot,yes_a_bit,just_fine,just_fine,,4,yes,
6712,58c3a77c2337c5d5bc06b6e591321c30,,on,on,,,,,4,4,4,4,4,4,4,4,,agree,weeks,,,sufficiently,sufficiently,sufficiently,sufficiently,sufficiently,a_bit,yes_a_bit,just_fine,just_fine,,4,yes,
6713,7ef7294422850fa8b04eacd8be1e3474,,,on,,,,"James you are an amazing presenter!
I am excited to continue this PL",5,4,4,4,4,4,4,4,Process of steps to create a solution,strongly_agree,hours,Assessment and links to STEM,"Assessment
Term planning",considerably,sufficiently,considerably,sufficiently,considerably,a_lot,yes_lots_,just_fine,just_fine,Build capacity of students in computational thinking and problem solving,4,yes,"Code in detail, problem solve"
6714,31a54dd1a0e017f80d0bb0a9e1609276,,on,on,,,on,,4,4,5,4,5,5,5,5,As per previous,strongly_agree,weeks,,,i_am_already_confident,i_am_already_integrating_a_lot,i_am_already_knowledgeable,i_am_already_aware,sufficiently,a_lot,yes_lots_,just_fine,just_fine,As per previous,5,yes,As per previous
6715,95e846bdcc44a0b813a2d8ecaee6b1ba,,,on,,,,,4,4,4,4,4,4,4,4,,agree,weeks,,,considerably,sufficiently,considerably,considerably,considerably,a_bit,yes_a_bit,just_fine,fast,,4,yes,
6716,55c41f99b0063c1955393018d6112d4c,on,,,on,on,,,5,4,4,4,4,4,4,4,,strongly_agree,weeks,,,considerably,considerably,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,slow,,4,yes,
6717,123caf07658bdf56a354e2f26b7cab5f,,on,on,,,on,"I think that if it is expected that we should run professional learning modules or programs, part of the sessions need to be focused on how to provide effective professional learning. ",4,5,5,5,5,5,5,5,,agree,hours,,,i_am_already_confident,sufficiently,i_am_already_knowledgeable,sufficiently,sufficiently,a_bit,yes_lots_,just_fine,just_fine,,5,yes,
6718,ee58e97490919985e02220baa3449838,,,on,,,,"This was fantastic, especially the way presenters were flexible with what they covered and how long they provided for play.",5,4,4,4,5,4,5,4,Laying down a series of steps that can be followed to solve a problem,strongly_agree,hours,More information / resources on project based learning tasks,troubkeshooting,considerably,considerably,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,fast,To provide students with the skills needed to problem solve.,4,yes,"Problem solve, use computational thinking, apply learning to new contexts ..."
6719,2cab326131c5f12c92ee40e1c48d1612,,on,on,on,on,on,,3,4,4,4,5,4,4,5,"The ability to recognise,  clarify and provide solutions to problems",strongly_agree,weeks,,,sufficiently,sufficiently,sufficiently,i_am_already_aware,sufficiently,a_lot,yes_lots_,just_fine,just_fine,To prepare students with the knowledge and skills to prepare digital solutions to real life problems,5,yes,Recognise and solve real life problems providing a digital solution 
6720,ff246f6d29d62743bdb40cb75a40ab72,,on,on,,,on,More of the same please,5,4,4,4,4,4,4,4,Thinking in an abstract way,strongly_agree,hours,"Algorithms
Coding
","Coding
Computational Thinking",considerably,considerably,considerably,considerably,considerably,a_lot,yes_lots_,long,fast,Prepare learners for the 21st Century,4,yes,Function on many platforms
6721,bef45932e62b8f6cd71a5e38aa795bb5,,,on,,,,,5,5,4,4,5,5,5,5,Problem solving abstract concepts in order to achieve a target. ,strongly_agree,days,,,considerably,sufficiently,sufficiently,considerably,sufficiently,a_lot,yes_lots_,short,just_fine,"Digital Technologies needs to be developed and used everywhere. We need to provide opportunities for all children to be exposed to the curriculum and excite them in the endless possibilities. The world is rapidly developing, we need to develop skills so they can keep up and engage. ",5,yes,"To be confident users of technology and the language used- plugged and unplugged. To be able to be creative, collaborative thinkers."
6722,f7a8d83995a1120e7c3845b96ac05d7b,,on,,,,,,5,5,5,5,5,5,5,5,Being able to abstract concepts to a set of steps which can be recreated as instructions for a computing device.,strongly_agree,days,Assessment,Success stories,considerably,considerably,sufficiently,sufficiently,sufficiently,a_bit,yes_a_bit,just_fine,just_fine,To teach students to think computationally.,5,no,Think computationally.
6723,09d03b25b5c16fb63b695732ec65eb7d,on,,,on,on,,"Great presenters, great knowledge. Great depth. Compassionate and supportive. ",5,3,3,3,3,3,3,3,Logic,strongly_agree,days,"Essential parts of the curriculum when you only have time to cover parts.
Exchange of resrouces, tasks, learning materials, assessments. Examples of grades with student work. ",More practical and creative ways of covering the senior school DT curriculum. ,considerably,sufficiently,sufficiently,considerably,sufficiently,a_lot,yes_a_bit,just_fine,fast,Teaching survival in a digital world by  helping students to understand the how things fit together.,3,yes,"Represent, create, communicate, present, export, import, decipher and code!"
6724,e0440e7c6b669aadd02b2c36798268e2,,,on,,,,More techniques on presenting PL,4,4,5,5,5,4,5,5,A person can identify a problem and design a solution in machine code.,agree,weeks,"Assessment
",,considerably,sufficiently,sufficiently,sufficiently,sufficiently,a_bit,yes_a_bit,short,fast,Develop students who are capable problem solvers and design thinkers,5,yes,"Present and analyse data
Identify problems and create solutions
Increase efficiencies  and effectiveness of systems"
6725,224cdceef48050042b5dbcc3e7b84d0d,on,,,on,on,,,5,4,4,4,4,4,4,4,"Understanding, breaking down and processing of problems and building appropriate solutions. ",agree,hours,"Assessment
More of the year 9-10 curriculum","Assessment
More of the year 9-10 curriculum",considerably,considerably,considerably,considerably,considerably,a_bit,yes_lots_,just_fine,just_fine,"To improve student understanding and mastery of ICT related skills, algorithmic thinking and code so they have a better understanding of the world around them.",4,yes,"Explain, use and create algorithms, code and digital systems. "
6726,7e4c07d8ee4f4960617bf3c7f9b05f7d,,,on,,,,"Would like more aimed at Primary level - although the Secondary level information was interesting, it didn't relate to me and therefore I got a bit bored in this time.",4,5,5,5,4,5,5,4,The thought processes involved in formulating a problem and expressing its solution/s.,strongly_agree,days,Assessment of student learning,Sharing of what worked well for presenting,considerably,sufficiently,sufficiently,sufficiently,considerably,a_lot,yes_lots_,just_fine,just_fine,"To create students who are enthusiastic to learn something new, to enable them to see the world in a different way and to be involved in something challenging, creative and engaging.",5,yes,"Have a deep knowledge and understanding of digital systems and how these work by creating, interpreting, taking part in digital implementation, investigating and defining, generating and designing, producing and implementing and evaluating, collaborating and managing technologies."
6727,99070e999d473be154b3bd4ce67b624d,on,,,on,on,,,,3,3,3,4,4,3,4,Being able to articulate design solutions as code or other languages people can understand.,strongly_agree,weeks,Scope and sequence examples,,considerably,,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,just_fine,To create digital creators,3,yes,Design solutions to real-world problems with code and integrated technologies.
6728,c4b0cd40d217ae75f0249dd9bd35d117,,,on,,,,Spend some more time on the hands on activities. It was so good to work through the GROK activities and then have the ACA and associates walk around to help us out.,4,3,3,3,4,3,4,4,"Thinking over multiple levels, multiple problem solving strategies.",strongly_agree,hours,"Honestly, I'm no so sure yet! My mind is overflowing at the moment!",As above.,considerably,considerably,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,very_fast,To immerse DT across all KLA's to better equip our students for future learning.,3,yes,"Code, Understand coding language to start with. Also why we code."
6729,0fda06946adbd904b363762185ecde18,,,,,,on,,4,4,5,5,4,4,4,3,Ability to solve problems via using steps and reasoning,agree,days,"Assessment

More junior primary instruction and content and assessment 

Lesson plans and exemplars ","What’s the difference between modules and webinars?
Aren’t they similar ",sufficiently,sufficiently,sufficiently,considerably,sufficiently,a_lot,yes_a_bit,just_fine,just_fine,To teach students to solve problems using tech skills. ,4,yes,"Solve problems using tech and not tech (algorithms, sequence steps) "
6730,63377edcc8f73d53c3c4c105a303bf52,,on,on,,,,"Fruit at morning tea ;-b
Seriously though, it was amazing and I can't believe how engaged I was for the full two days.  Absolutely fantastic. ",5,5,5,5,4,5,5,4,,strongly_agree,days,Assessment,"As many different activities to support the key concepts as possible, for us to share with teachers. Suitable for different age levels. ",considerably,considerably,sufficiently,considerably,considerably,a_lot,yes_lots_,just_fine,just_fine,,5,yes,
6731,4e463f8dd2fc67238af3ac259cccc872,,on,,,,,More arrogance please.,4,4,4,4,4,4,4,4,,agree,weeks,Assessments and better judging standards.,Happy for James to rant as much as possible.,sufficiently,sufficiently,sufficiently,sufficiently,considerably,a_lot,yes_a_bit,just_fine,just_fine,,5,yes,
6732,29173b10e2d639a93dd679769f48eda3,,on,on,,,on,,5,4,5,5,5,5,5,5,Awesome!!,strongly_agree,hours,Assessment and Progression Pointers.,How to simplify it for beginning staff.,considerably,considerably,sufficiently,considerably,sufficiently,a_lot,yes_lots_,just_fine,fast,To inspire students to learn and prepare them for the future. Develop their skills and knowledge.,5,yes,Use their acquired skills in their future learning journey.
6733,92e35f69c14c0dbaa31447621b85f044,,on,,,,,,4,4,5,5,4,4,4,4,"Being able to represent data in a variety of ways, abstraction to reduce symbols and information down to basics to maintain meaning between communication. Define algorithms to automate processes and tasks.",agree,days,"Assessment
The Understanding/knowledge side of the curriculum",Support for running webinars,sufficiently,insufficiently,sufficiently,sufficiently,sufficiently,a_lot,yes_a_bit,just_fine,slow,"To ensure our children have the appropriate skills to contribute to the world in an engaged, critical and well-informed manner.",4,yes,"Recognise algorithms in their everyday life, implement coding that features branching paths depending on user inputs"
6734,7a2f4f47b485555d043d054a69bd737e,,on,,,,,"Loved the content, delivery and the location.  Very professional.",5,4,4,4,,4,,4,Problem solving and creative solution thinking ,strongly_agree,days,Assessment and Reporting,Assessment,sufficiently,sufficiently,considerably,considerably,sufficiently,a_lot,yes_lots_,just_fine,fast,Teach students to think computationally.,4,,Use DT effectively and creatively with computational thinking.
6735,f581b00bc71e3bf1a08a9af704b11cf8,on,,,,on,,More time to practice what we learn and more practice of new knowledge.,4,2,2,2,2,2,2,2,Process solving ,strongly_agree,days,3D Printers,More about Python,sufficiently,not_at_all,sufficiently,sufficiently,sufficiently,a_lot,yes_lots_,just_fine,fast,To learn how to use safely and responsibly Digital Technologies and the opportunities that come with it.,2,yes,Be responsible users of digital devices.
6736,3eaea3932aee7cc32ca7d2610eb1cfb3,on,on,on,on,on,,"Less time 'doing' as it's hard to try and follow along when it's being done so fast, so possibly better just to lead us to what we can do and try ourselves in own time and use that time to cover more content or allow for questions/deep conversation/example sharing etc.",5,4,4,4,5,4,4,4,"Again, same as before. ",strongly_agree,weeks,"How to apply this to more than just a mainstream setting. 
",How we are splitting up the presentations and sharing of the modules e.g. so we can all see who is covering where and when amongst TCCwa Lead Teachers. ,considerably,sufficiently,considerably,sufficiently,considerably,a_lot,yes_lots_,short,fast,Same as last time just more in depth understanding now. ,4,yes,Have the skills and competencies to engage with and be relevant in the world they live. 
6737,4fc318a6df8c1c6663787fb46808bd8f,,,,,,on,More time to talk with colleagues,4,4,5,5,4,4,4,4,Ability to define a problem and take sequential steps to solve that problem.,strongly_agree,days,How to link knowledge with student assessment,Assessment,sufficiently,considerably,sufficiently,sufficiently,considerably,a_lot,yes_lots_,just_fine,just_fine,"Promote critical thinking, work collaboratively, develop computational thinking",4,yes,"Increase their knowledge of digital systems, algorithms + processes"
6738,9e8e075dddd006bf3cee2b6205d2d046,,,on,,,,,4,4,4,4,4,4,5,5,"Thinking in a series of instructions, broken down into the smallest possible steps. Being able to define, step by step, what needs to be done to solve a problem.",strongly_agree,days,,,sufficiently,sufficiently,sufficiently,sufficiently,sufficiently,a_lot,yes_lots_,just_fine,just_fine,"To build students' capacity in computational thinking, problem solving and creativity through the vehicle of digital technologies.",5,yes,Solve problems using digital and non-digital systems by using computational thinking and creativity.
6739,239462742140124c1d7f13af840cb7b3,,on,,,,,,4,4,4,4,5,4,4,4,Being able to be solutions focused and problem solve. Identifying the problem and finding the solution,strongly_agree,weeks,More on grok. More practice :),,considerably,considerably,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,fast,To build students knowledge and understanding of how to create solutions to problems that are relevant to them,5,yes,Be confident in creating solutions to problems using a range of different materials and programs and ict. Be able to problem solve and test ideas to improve and create better solutions
6740,f5a5d76941bf0dd1a166879f617400da,,on,on,,,on,Having all the slides as PowerPoint so that we can take digital notes,5,4,4,4,4,4,4,4,Being able to come up with solutions broken down into parts that a computer can efficiently work out.,strongly_agree,days,Assessment tasks (moderated tasks),"Assessment
Engaging uninspired teachers",considerably,considerably,considerably,considerably,considerably,a_lot,i_already_know_how_to_code,just_fine,just_fine,"To prepare students to think computationally, understand their technological world, prepare them to identify, solve and evaluate solutions to real world problems.",4,yes,They should be able to be confident in creating solutions to problems relevant to them using a range of digital and non-digital resources. They should be able to explain current technology in simple terms.
6741,afea1edae892c4e44ff1a060ab60232d,,,on,,,,To update the slides notes to use BC and BCE instead of the outdated BC & AD,5,5,5,5,5,5,5,5,The ability to break down a problem into sections or patterns in order to create a step by step solution. ,strongly_agree,days,More time to break down programming teachers of  for early years  and 3/4,"New resources. 
TCC Delivery wins and challenges",considerably,considerably,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,fast,To improve students computational thinking skills and create a culture of 'thinkers' and 'understanders'.,5,yes,"Collect and interpret data, coding and sharing what they have learnt to support other students. "
6742,45be8eaae937af8923c00a9cbaf2ad54,,,,on,,,AssessmentT,5,5,4,4,4,5,4,4,To think like a computer,strongly_agree,hours,Assment,Assessment,considerably,considerably,considerably,considerably,considerably,a_lot,yes_lots_,short,fast,To develop Computational Thinking,4,yes,"Be able to be confident in solving problems, and successfully applying abstraction and other such like key concepts  to appropriately realise solutions "
6743,4168853cded3d7e8abe81f14cef84b06,,on,on,,,on,Begin seating us with people we need to be connected with.,4,4,4,4,5,4,5,5,Developing code to problem solve at differing levels of understanding.,strongly_agree,hours,"Plugged Early childhood ideas
Plugged middle primary ideas",,considerably,considerably,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,just_fine,Preparing students to be creators of technology not just consumers of ready made technology.,4,yes,Code using Python
6744,20b6378db5f2ee8e9efdeac3801eba08,on,,,on,on,,Excellent PD.,5,5,5,5,5,5,5,5,Ability to think logically to solve problems.,strongly_agree,weeks,"Assessment in DT,
Assessment Examples.
More coding",Share experiences regarding workshops.,considerably,considerably,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,just_fine,Use of technology to solve problems. Understanding of how data is represented and communicated.,5,yes,Solve problems using algorithms and code; understand how data is represented and communicated.
6745,e53c3a2a3d6c9177cd045ea335716c33,on,on,,,,,"Make explicit what the workshops are, Maybe just one slide.",4,3,2,3,2,3,3,3,Using technologies to create and solve real-world problems.,strongly_agree,days,,,sufficiently,sufficiently,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,fast,A  discipline for students to be able to solves problems and create projects in areas they are interested in.,3,no,Too many things to list.. Definitely  a  basic knowledge of general purpose programming as opposed to specific programming.
6746,8a798bac2130a3712f4eae0428ff8472,,on,on,,,on,,4,4,5,5,4,4,4,5,,agree,weeks,,,i_am_already_confident,i_am_already_integrating_a_lot,sufficiently,sufficiently,i_already_understood,a_bit,yes_lots_,just_fine,just_fine,,4,yes,
6747,b2147d02c3270a70a2d0c58c8fc20af5,,,,on,on,,Not at this moment ,5,4,5,5,5,4,5,5,"Formulate problems, express solutions ",strongly_agree,hours,"Linking activities directly to WA Curriculum
More writing code",Not sure,considerably,i_am_already_integrating_a_lot,considerably,considerably,considerably,a_lot,yes_lots_,long,fast,To empower students to navigate and contribute to the ever changing digital world ,5,yes,Competently write in code. Use digital systems
6748,a9c5a10b463dcc55a129129ca16d3bfe,,on,on,,,on,,5,4,5,5,4,4,4,4,Breaking down a process of problem into steps that could be followed by a computer.,strongly_agree,weeks,"Assessment
",Assessment,considerably,considerably,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,fast,Teach students 10 general concepts that they can apply to current and future technology to solve problems.,4,yes,
6749,8401bc2748351e3b126db1997db05780,,on,,,,,,5,5,5,5,5,5,5,5,Is a problem-solving method that includes various techniques and strategies that can be implemented by digital systems.,strongly_agree,hours,,,considerably,sufficiently,considerably,considerably,considerably,a_lot,yes_lots_,just_fine,just_fine,To bring our students up to speed with the technologies already available but to also instil in them the mindset and skill set to adapt to new and emerging technologies.,5,yes,To have the mindset and skills to pick up new technologies and give it again.
6750,e589cb5e4a48e15bce45a2a9d26b70ba,on,,,on,on,,,4,4,4,4,3,4,3,3,,agree,weeks,,,sufficiently,sufficiently,considerably,sufficiently,sufficiently,a_bit,yes_lots_,just_fine,fast,,3,yes,
6751,ae21cacdbf25d8c14300cdcb016ebd81,,on,,,,,"Might be good to group people into tables.
Record all the workshop for future reference.
Make sure the presentations are on connect before the workshop - for easy downloading and note taking ",4,4,4,4,5,4,4,,The ability to work out logical solutions to problems.,strongly_agree,days,"unplugged examples for primary year 4 and below
Examples of integration with other subjects",,considerably,sufficiently,considerably,sufficiently,considerably,a_lot,yes_lots_,just_fine,fast,Students learn computational thinking to design and test solutions to problems.,5,yes,They should never finish as it is ongoing. Although they are developing their skills in developing solutions.
6752,7a3e89801ed648161486d9f18303e118,,on,on,,,on,,4,3,4,4,4,5,3,4,Breaking a problem down into steps to solve. Sometimes following an algorithmic approach. Thinking like a computer. ,agree,weeks,,,sufficiently,considerably,sufficiently,considerably,sufficiently,a_lot,yes_lots_,just_fine,just_fine,To equip students with transferable skills in technology and solving problems to successfully participate in the ever changing gloabal community.  ,4,yes,"Understand how systems work
Be able to assess and represent data digitally.
Have coding knowledge relevant to their age or ability. 
Use computational thinking to solve problems. 
Work as a team or at least try to!"
